2024-07-23 08:11:37,559 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Configure stats pid to 1686179
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Loading settings from /home/vs3041/.config/wandb/settings
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Loading settings from /scratch/gpfs/vs3041/prefer_prepare/hf_pipeline_MWE/scripts/wandb/settings
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:_log_setup():529] Logging user logs to /scratch/gpfs/vs3041/prefer_prepare/hf_pipeline_MWE/scripts/wandb/offline-run-20240723_081137-gwi3r0o4/logs/debug.log
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:_log_setup():530] Logging internal logs to /scratch/gpfs/vs3041/prefer_prepare/hf_pipeline_MWE/scripts/wandb/offline-run-20240723_081137-gwi3r0o4/logs/debug-internal.log
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:_jupyter_setup():475] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1505e54f4680>
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:init():569] calling init triggers
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-23 08:11:37,560 INFO    MainThread:1686179 [wandb_init.py:init():594] re-initializing run, found existing run on stack: 2w9fbb3u
2024-07-23 08:11:37,561 INFO    MainThread:1686179 [wandb_run.py:_finish():2109] finishing run prefer_prepare-hf_pipeline_MWE_scripts/2w9fbb3u
2024-07-23 08:11:37,561 INFO    MainThread:1686179 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-23 08:11:37,561 INFO    MainThread:1686179 [wandb_run.py:_restore():2332] restore
2024-07-23 08:11:37,561 INFO    MainThread:1686179 [wandb_run.py:_restore():2338] restore done
2024-07-23 08:11:38,922 INFO    MainThread:1686179 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-23 08:11:38,922 INFO    MainThread:1686179 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
